Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
Aniak Airport	Aniak	United States	ANI	PANI	61.58160019	-159.5429993	A	America/Anchorage
Nenana Municipal Airport	Nenana	United States	ENN	PANN	64.54730225	-149.0740051	\N	\N
Nondalton Airport	Nondalton	United States	NNL	PANO	59.98020172	-154.8390045	A	America/Anchorage
Funter Bay Seaplane Base	Funter Bay	United States	FNR	PANR	58.25439835	-134.897995	A	America/Anchorage
Annette Island Airport	Annette Island	United States	ANN	PANT	55.04240036	-131.5720062	A	America/Anchorage
Nulato Airport	Nulato	United States	NUL	PANU	64.729301	-158.074005	A	America/Anchorage
Anvik Airport	Anvik	United States	ANV	PANV	62.646702	-160.190994	A	America/Anchorage
New Stuyahok Airport	New Stuyahok	United States	KNW	PANW	59.44990158	-157.3280029	A	America/Anchorage
Kobuk Airport	Kobuk	United States	OBU	PAOB	66.91230011	-156.8970032	A	America/Anchorage
Hoonah Airport	Hoonah	United States	HNH	PAOH	58.0961	-135.410111	A	America/Anchorage
Nome Airport	Nome	United States	OME	PAOM	64.5121994	-165.4450073	A	America/Anchorage
Toksook Bay Airport	Toksook Bay	United States	OOK	PAOO	60.54140091	-165.0870056	A	America/Anchorage
Northway Airport	Northway	United States	ORT	PAOR	62.9612999	-141.9290009	A	America/Anchorage
Ralph Wien Memorial Airport	Kotzebue	United States	OTZ	PAOT	66.88469696	-162.598999	A	America/Anchorage
Nelson Lagoon Airport	Nelson Lagoon	United States	NLG	PAOU	56.00749969	-161.1600037	A	America/Anchorage
St George Airport	Point Barrow	United States	STG	PAPB	56.57830048	-169.6620026	A	America/Anchorage
Port Clarence Coast Guard Station	Port Clarence	United States	KPC	PAPC	65.25370026	-166.8589935	A	America/Anchorage
Perryville Airport	Perryville	United States	KPV	PAPE	55.905998	-159.162993	A	America/Anchorage
Petersburg James A Johnson Airport	Petersburg	United States	PSG	PAPG	56.80170059	-132.9450073	A	America/Anchorage
Port Heiden Airport	Port Heiden	United States	PTH	PAPH	56.95909882	-158.6329956	A	America/Anchorage
Napaskiak Airport	Napaskiak	United States	PKA	PAPK	60.70289993	-161.7779999	A	America/Anchorage
Platinum Airport	Port Moller	United States	PTU	PAPM	59.01139832	-161.8200073	A	America/Anchorage
Pilot Point Airport	Pilot Point	United States	PIP	PAPN	57.58039856	-157.5720062	A	America/Anchorage
Prospect Creek Airport	Prospect Creek	United States	PPC	PAPR	66.81410217	-150.6439972	A	America/Anchorage
Klawock Seaplane Base	Klawock	United States	\N	PAQC	55.55469894	-133.102005	A	America/Anchorage
Quinhagak Airport	Quinhagak	United States	KWN	PAQH	59.7551	-161.845	A	America/Anchorage
Nuiqsut Airport	Nuiqsut	United States	NUI	PAQT	70.20999908	-151.0059967	A	America/Anchorage
Arctic Village Airport	Arctic Village	United States	ARC	PARC	68.1147	-145.578995	A	America/Anchorage
Russian Mission Airport	Russian Mission	United States	RSH	PARS	61.77888489	-161.319458	A	America/Anchorage
Ruby Airport	Ruby	United States	RBY	PARY	64.72720337	-155.4700012	A	America/Anchorage
Savoonga Airport	Savoonga	United States	SVA	PASA	63.68640137	-170.4929962	A	America/Anchorage
Deadhorse Airport	Deadhorse	United States	SCC	PASC	70.19470215	-148.4649963	A	America/Anchorage
Sand Point Airport	Sand Point	United States	SDP	PASD	55.31499863	-160.522995	A	America/Anchorage
Shishmaref Airport	Shishmaref	United States	SHH	PASH	66.249604	-166.089112	A	America/Anchorage
Sitka Rocky Gutierrez Airport	Sitka	United States	SIT	PASI	57.04710007	-135.3619995	A	America/Anchorage
Selawik Airport	Selawik	United States	WLK	PASK	66.60009766	-159.9859924	A	America/Anchorage
Sleetmute Airport	Sleetmute	United States	SLQ	PASL	61.70050049	-157.1660004	A	America/Anchorage
St Mary's Airport	St Mary's	United States	KSM	PASM	62.0605011	-163.302002	A	America/Anchorage
St Paul Island Airport	St. Paul Island	United States	SNP	PASN	57.16730118	-170.2200012	A	America/Anchorage
Seldovia Airport	Seldovia	United States	SOV	PASO	59.44240189	-151.7039948	A	\N
Sparrevohn LRRS Airport	Sparrevohn	United States	SVW	PASV	61.09740067	-155.5740051	A	America/Anchorage
Soldotna Airport	Soldotna	United States	SXQ	PASX	60.47570038	-151.0339966	U	America/Anchorage
Eareckson Air Station	Shemya	United States	SYA	PASY	52.71229935	174.1139984	A	America/Adak
Tin City Long Range Radar Station Airport	Tin City	United States	TNC	PATC	65.56310272	-167.9219971	A	America/Anchorage
Teller Airport	Teller	United States	TLA	PATE	65.24040222	-166.3390045	A	America/Anchorage
Togiak Airport	Togiak Village	United States	TOG	PATG	59.05279922	-160.3970032	A	America/Anchorage
Tok Airport	Tok	United States	\N	PATJ	63.303333	-143.001111	A	America/Anchorage
Talkeetna Airport	Talkeetna	United States	TKA	PATK	62.32049942	-150.0939941	A	America/Anchorage
